,Ruta,Sitio,Año,Camara,Extra,Archivo,Fecha,Hora,Animal_proba,Animal,Guanaco_proba,Guanaco,Especie,Cantidad_proba,Cantidad,Validar,Validado
2445,/Users/anoguera/Library/CloudStorage/GoogleDrive-anoguera@itba.edu.ar/.shortcut-targets-by-id/13CqyEh4cWQzYw4gjy1HISxZOq5lBzx48/Imagenes/Muestreo ct sauce/CT S 2023/S4/S4-a- (1).JPG,Muestreo ct sauce,CT S 2023,S4,,S4-a- (1).JPG,2023-02-19,11:54:31,0.0,0,,,,,,False,0
3691,/Users/anoguera/Library/CloudStorage/GoogleDrive-anoguera@itba.edu.ar/.shortcut-targets-by-id/13CqyEh4cWQzYw4gjy1HISxZOq5lBzx48/Imagenes/Muestreo ct sauce/CT S 2023/S4/S4-a- (3).JPG,Muestreo ct sauce,CT S 2023,S4,,S4-a- (3).JPG,2023-02-19,11:54:31,0.0,0,,,,,,False,0
5456,/Users/anoguera/Library/CloudStorage/GoogleDrive-anoguera@itba.edu.ar/.shortcut-targets-by-id/13CqyEh4cWQzYw4gjy1HISxZOq5lBzx48/Imagenes/Muestreo ct sauce/CT S 2023/S4/S4-a- (2).JPG,Muestreo ct sauce,CT S 2023,S4,,S4-a- (2).JPG,2023-02-19,11:54:31,0.0,0,,,,,,False,0
2079,/Users/anoguera/Library/CloudStorage/GoogleDrive-anoguera@itba.edu.ar/.shortcut-targets-by-id/13CqyEh4cWQzYw4gjy1HISxZOq5lBzx48/Imagenes/Muestreo ct sauce/CT S 2023/S4/S4-a- (4).JPG,Muestreo ct sauce,CT S 2023,S4,,S4-a- (4).JPG,2023-02-19,11:57:47,0.0,0,,,,,,False,0
3743,/Users/anoguera/Library/CloudStorage/GoogleDrive-anoguera@itba.edu.ar/.shortcut-targets-by-id/13CqyEh4cWQzYw4gjy1HISxZOq5lBzx48/Imagenes/Muestreo ct sauce/CT S 2023/S4/S4-a- (6).JPG,Muestreo ct sauce,CT S 2023,S4,,S4-a- (6).JPG,2023-02-19,11:57:48,0.0,0,,,,,,False,0
5762,/Users/anoguera/Library/CloudStorage/GoogleDrive-anoguera@itba.edu.ar/.shortcut-targets-by-id/13CqyEh4cWQzYw4gjy1HISxZOq5lBzx48/Imagenes/Muestreo ct sauce/CT S 2023/S4/S4-a- (5).JPG,Muestreo ct sauce,CT S 2023,S4,,S4-a- (5).JPG,2023-02-19,11:57:48,0.0,0,,,,,,False,0
1103,/Users/anoguera/Library/CloudStorage/GoogleDrive-anoguera@itba.edu.ar/.shortcut-targets-by-id/13CqyEh4cWQzYw4gjy1HISxZOq5lBzx48/Imagenes/Muestreo ct sauce/CT S 2023/S4/S4-a- (7).JPG,Muestreo ct sauce,CT S 2023,S4,,S4-a- (7).JPG,2023-02-19,11:57:52,0.0,0,,,,,,False,0
2782,/Users/anoguera/Library/CloudStorage/GoogleDrive-anoguera@itba.edu.ar/.shortcut-targets-by-id/13CqyEh4cWQzYw4gjy1HISxZOq5lBzx48/Imagenes/Muestreo ct sauce/CT S 2023/S4/S4-a- (9).JPG,Muestreo ct sauce,CT S 2023,S4,,S4-a- (9).JPG,2023-02-19,11:57:53,0.0,0,,,,,,False,0
5681,/Users/anoguera/Library/CloudStorage/GoogleDrive-anoguera@itba.edu.ar/.shortcut-targets-by-id/13CqyEh4cWQzYw4gjy1HISxZOq5lBzx48/Imagenes/Muestreo ct sauce/CT S 2023/S4/S4-a- (8).JPG,Muestreo ct sauce,CT S 2023,S4,,S4-a- (8).JPG,2023-02-19,11:57:53,0.0,0,,,,,,False,0
368,/Users/anoguera/Library/CloudStorage/GoogleDrive-anoguera@itba.edu.ar/.shortcut-targets-by-id/13CqyEh4cWQzYw4gjy1HISxZOq5lBzx48/Imagenes/Muestreo ct sauce/CT S 2023/S4/S4-a- (10).JPG,Muestreo ct sauce,CT S 2023,S4,,S4-a- (10).JPG,2023-02-19,11:58:26,0.0,0,,,,,,False,0
4344,/Users/anoguera/Library/CloudStorage/GoogleDrive-anoguera@itba.edu.ar/.shortcut-targets-by-id/13CqyEh4cWQzYw4gjy1HISxZOq5lBzx48/Imagenes/Muestreo ct sauce/CT S 2023/S4/S4-a- (11).JPG,Muestreo ct sauce,CT S 2023,S4,,S4-a- (11).JPG,2023-02-19,11:58:26,0.0,0,,,,,,False,0
5421,/Users/anoguera/Library/CloudStorage/GoogleDrive-anoguera@itba.edu.ar/.shortcut-targets-by-id/13CqyEh4cWQzYw4gjy1HISxZOq5lBzx48/Imagenes/Muestreo ct sauce/CT S 2023/S4/S4-a- (12).JPG,Muestreo ct sauce,CT S 2023,S4,,S4-a- (12).JPG,2023-02-19,11:58:27,0.0,0,,,,,,False,0
